Id,Location_Depot,Name_Depot,Width,Height,Length,Type
2aef5a0d-5808-4aa6-93f9-e01682cd6c6d,193,Depot_193,0,1,4,FRAGILE
9510e060-0ffc-4365-abfc-0aaaa6eb8a10,190,Depot_190,0,1,1,ALIMENTAL
546f8f4c-075f-4bd7-b19e-d6fa6f659364,109,Depot_109,2,1,5,FLAMMABLE
3fdfe7c0-d32f-4de3-8832-8f0c068b243c,218,Depot_218,3,0,4,FLAMMABLE
b66ce137-9c94-440d-b0e0-2bdd7cbb2a97,124,Depot_124,4,0,2,ALIMENTAL
a1a05ee4-a12e-4275-b846-e917720ca8e1,439,Depot_439,2,0,2,OXIDIZING
8b39838e-e2d4-498a-a096-5e706195ac56,168,Depot_168,3,2,2,FLAMMABLE
012e7a78-1bc8-45dc-b04b-84bd67a53088,496,Depot_496,3,1,7,NOTSPECIFY
235f6b5c-9ce6-4872-91ea-9a72c71cccb9,93,Depot_93,3,2,3,CORROSIVE
27634512-71ce-4c64-b8d7-bdb70a6f31a5,327,Depot_327,2,1,3,FLAMMABLE
8e02f278-f1ab-4d23-9cdf-7eed52617bdc,278,Depot_278,2,0,5,CORROSIVE
a6f7baaa-c82a-4d93-8639-3728d39a265e,95,Depot_95,1,1,5,NOTSPECIFY
5def6488-120a-4c4c-abaa-e411d8482159,155,Depot_155,1,2,6,NOTSPECIFY
82253cc2-7939-4baf-be34-a6d6073f7063,163,Depot_163,3,1,4,NOTSPECIFY
f88db1a4-d1ad-477b-8699-c432aad97f80,414,Depot_414,2,2,6,NOTSPECIFY
f8dc94d2-9f4f-4f6f-9b04-244f6a24fd29,100,Depot_100,2,0,2,FRAGILE
6c0fe736-130c-42bc-87b8-fada5d432f23,184,Depot_184,1,2,5,NOTSPECIFY
20e3bcb2-3543-43a6-935d-5b55a64df5ad,140,Depot_140,3,0,6,NOTSPECIFY
f0a9045d-14f2-455a-b0c7-823aad91d9e2,484,Depot_484,5,4,4,EXPLOSIVE
dd3d1749-d67e-4369-a0c8-0b1f320f79f7,463,Depot_463,3,8,3,OXIDIZING
2b08b4e8-45b4-4b9c-b461-69d4f992f905,246,Depot_246,1,4,8,ALIMENTAL
3474ad62-53c5-4dc5-8552-39d2f50bc3a4,67,Depot_67,1,7,6,FLAMMABLE
6f622352-5411-4fd1-89f7-bcadab73abf2,78,Depot_78,5,1,5,ALIMENTAL
20f79cbc-2535-4c3e-a866-5429a4f1a970,118,Depot_118,4,4,2,OXIDIZING
f0a62388-bc86-471e-a148-461b63565ed1,373,Depot_373,2,5,3,OXIDIZING
8579fe0c-eca0-4d08-afdc-7de8e8ef2e1e,379,Depot_379,5,5,1,CORROSIVE
80e6aea6-20ed-4f38-8bfc-51cc7c12f8c1,417,Depot_417,3,3,1,TOXIC
a6c5cf03-8914-4397-8ed3-3f75b2a08966,279,Depot_279,5,1,2,EXPLOSIVE
5606937c-a64f-42e3-bf43-82d330d29fb1,65,Depot_65,2,5,2,FLAMMABLE
1852145d-0dfc-4914-877e-8eae54eca84b,436,Depot_436,3,5,5,OXIDIZING
958d4cdf-18ff-494f-aa00-74b7a6f46df6,352,Depot_352,3,4,2,TOXIC
d0b58bfb-f79b-4d39-ac86-2e6098c61433,14,Depot_14,6,2,2,FRAGILE
